context,answer
ما هي نتيجة الاستفتاء الذي حدث في عام 1996 ؟,فشل استفتاء إقليمي لدمج برلين مع براندنبورغ المحيطة بها لتشكّلا معاً ولاية تُسمى«برلين-براندنبورغ» فشل هذه الاستفتاء بالوصول إلى الأغلبية اللازمة في براندنبورغ
من هي عاتِكَة بنت المهلب وما هو أصلها وتاريخها؟,عاتِكَة بنت المهلب بن سُراق بن صُبح بن كندي بن عَمرو العتكيّة الأزديّة ، سيّدة عُمانية من أزد عُمان
ما هو دور عاتِكَة بنت المهلب في نشر المذهب الإباضي؟,كانت عاتِكَة فقيهة وحكيمة وبليغة وكانت من النساء القِلّة المشهورات بغزارة عِلمهِن آنذاك
ما هي العلوم والمعرفة التي تعلمها عاتِكَة بنت المهلب؟,بلغت درجة عالية من الفِقه والبلاغة
كيف تأثرت عاتِكَة بنت المهلب بالمذهب الإباضي ولماذا دعمته؟,كانت من أشد المناصرين له ، لتقوم بعد ذلك بدورها في نشره بين النساء ولعل ما ساعدها في ذلك إلى جانب عِلمها وشُهرتِها أنها كانت خطيبة مُفوّهة وذات كلمة مسموعة مما دفع النساء إلى التأثر بها،
كيف كانت تقوم عاتِكَة بنت المهلب بنشر أفكار المذهب الإباضي بين النساء؟,كانت مرجعاً للنساء يرجِعن إليها في كُل ما صَعُب عليهنَ فهمُه ولم تكُن تبخل على أحد بالإجابة أبداً، ونظراً لما كانت عليه الحال في البصرة،
ما هي الدور الاجتماعي والإنساني الذي قامت به عاتِكَة بنت المهلب؟,عُرِف عنها أنها كانت ذات يدٍ بيضاء كثيرة الإنفاق والبذل في سبيل الله عزّ وجل وفي نُصرَة المذهب الإباضي ، فضلاً عن إنفاقها على الفقراء والمساكين والمحتاجين.
ما هو تاريخ يوم 4 \ 6 بالتقويم الميلادي الغربي؟,يونيو أو 4 حُزيران أو 4 يونيه أو يوم 4 \ 6
كم عدد الأيام التي تبقى لنهاية السنة بعد يوم 4 \ 6؟,يبقى بعده 210 يوما
من هي ليليان أفيغبي؟,هي مُمثلة ومُنتجة نيجيرية. فازت ليليان سنة 2018 بجائزة أفضل فيلم حول السكان الأصليين
ما الجائزة التي فازت بها ليليان سنة 2018؟,جائزة أفضل فيلم حول السكان الأصليين
في أي حفل تم توزيع جائزة أفضل فيلم حول السكان الأصليين؟,حفل توزيع جوائز أفريقيا ماجيك
ما هو تاريخ فوز ليليان بالجائزة؟,سنة 2018
ما هو تصنيف فيلم سموكين آسيس؟,فيلم كوميدي وأكشن أمريكي
متي أصدر فيلم سموكين آسيس؟,عام 2006
من هو كاتب ومخرج الفيلم؟,جو كارنهان
كم تبلغ أيرادات الفيلم في شباك التذاكر؟,57 مليون دولار
ما هي بطولة صوفيا المفتوحة للتنس؟,بطولة تقام في صوفيا،بلغاريا للتنس
"إلى أي فئة من بطولات رابطة محترفي التنس تنتمي ""بطولة صوفيا المفتوحة""؟",بطولات رابطة محترفي التنس 250 نقطة
متي بدأت البطولة؟,2016.
من هو كونراد تسوزه؟,هو مهندس ألماني ورائد في الكمبيوتر
ما هي أكبر إنجازات كونراد تسوزه؟,إنجازاته كان اختراع أول كمبيوتر في العالم المسمى
هل حاز كونراد تسوزه على جوائز في مجال الكمبيوتر؟,تسوزه على عدة جوائز لأعماله في مجال الكمبيوتر
ماذا فعل تسوزه بعد تقاعده؟,تفرغ بعد تقاعده للرسم التي كانت هوايته المحببة.
متى توفي كونراد تسوزه وأين؟,توفي تسوزه في 18 ديسمبر 1995 في هونفيلد،
ما هو معرض ألبرايت نوكس للفنون؟,متحف فني
أين يقع معرض ألبرايت نوكس للفنون؟,1285 شارع إلموود، بوفالو، نيويورك، في ديلاوير بارك
لماذا تم إغلاق حرم إلموود أفونيو في ألبرايت نوكس مؤقتًا؟,بسبب أعمال البناء
ما هي المنظمة الأم لمعرض ألبرايت نوكس للفنون؟,أكاديمية بافالو للفنون الجميلة
متي تأسست أكاديمية بافالو للفنون الجميلة؟,عام 1862
ما هو تاريخ بناء المبنى الأصلي للمعرض؟,عام 1905
ما هو المشروع الفني الجديد المتوقع افتتاحه في عام 2022؟,متحف بافلو أولبرايت نوكس جوندلاش للفنون
من هو خوسيه فليتاس؟,مدرب كرة قدم ولاعب كرة قدم
ما هي جنسية خوسيه فليتاس؟,باراغواياني
متي ولد خوسيه فليتاس؟,7 نوفمبر 1986
أين ولد خوسيه فليتاس؟,باراغواي
ما هو النادي الذي لعب معه خوسيه فليتاس؟,ديبورتيس نافال.
ما هو مسلسل (ورا كل باب)؟,مسلسل متنوع يتكون من سلسلة من الحكايات المنفصلة الاجتماعية الدرامية
كم عدد حلقات المسلسل؟,40 دقيقة كل حكاية تتكون من 5 حلقات قصة المسلسل
"ما هي القناة التي عُرِضَ عليها المسلسل ""ورا كل باب""؟",قناة الحياة الفضائية
ما هي القضايا التي يناقشها المسلسل؟,عدة مسائل ومشاكل في حياتنا اليومية
من هو كريب بن أبي مسلم وما هو نسبه ودوره في التاريخ الإسلامي؟,أبو رشدين القرشي، الهاشمي مولى الصحابي عبد الله بن عباس
ما هي مؤهلات كريب بن أبي مسلم كروائي للحديث؟,وأحد رواة الحديث وهو ثقة، أدرك عثمان، وأرسل عن الفضل بن العباس
كيف تعامل كريب بن أبي مسلم مع كتب ابن عباس وما هو دوره في نقل الحديث عنه؟,وضع عندنا كريب حمل بعير أو عدل بعير من كتب ابن عباس، فكان علي بن عبد الله بن عباس إذا أراد الكتاب كتب إليه: ابعث إلي بصحيفة كذا وكذا، فينسخها، ويبعث إليه إحداهما
ما هي الفترة الزمنية التي عاشها كريب بن أبي مسلم ومكان وفاته؟,قال البخاري مات بالمدينة سنة ثمان وتسعين، فِي آخر خلافة سليمان بن عبد الملك
ما هي أقوال العلماء حول كريب بن أبي مسلم وتقييمه كروائي؟,أقوال علماء الجرح والتعديل فيه
ما هو المركز الذي يلعب فيه أندرو إبستاين في كرة القدم؟,مركز حراسة المرمى
ما هي تاريخ ميلاد أندرو إبستاين؟,ولد في 31 يوليو 1994
ما هو أندرو إبستاين؟,هو مهندس ولاعب كرة قدم
في أي مدينة ولاية أمريكية ولد أندرو إبستاين؟,في فورت كولنز في الولايات المتحدة
